target,model,variable,coef,std_coef,std_error_hac,t_value,p_value,ci_lower,ci_upper,significant_5pct
future_absret_5,HAR_OLS,const,0.0027320040402828228,,0.0006948065847044385,3.9320353324587174,8.422968200880124e-05,0.0013702081580408449,0.004093799922524801,True
future_absret_5,HAR_OLS,past_absret_5,0.14861566128787718,0.15618731394728871,0.07102326620142979,2.0924926328562083,0.0363944700947619,0.00941261746867389,0.28781870510708046,True
future_absret_5,HAR_OLS,past_absret_20,0.37136411662511837,0.3391509371084592,0.11782032636491363,3.1519528767466474,0.0016218244473729924,0.14044052030313267,0.602287712947104,True
future_absret_5,HAR_OLS,past_absret_60,0.16803811095797697,0.15130594642442907,0.12237812818228429,1.3731057457234626,0.16971947510421215,-0.07181861277472643,0.40789483469068033,False
future_absret_5,HARX_OLS,const,0.004524553792088875,,0.0030468425379041155,1.4849975789038505,0.1375444654556193,-0.0014471478487678054,0.010496255432945556,False
future_absret_5,HARX_OLS,past_absret_5,0.1432794427635769,0.1505792264097883,0.06990470989388906,2.049639330183418,0.040399639441982445,0.006268729021833563,0.28029015650532024,True
future_absret_5,HARX_OLS,past_absret_20,0.39657011377075946,0.3621704943838983,0.11465199693103278,3.458902804887998,0.0005423805907736622,0.1718563290303384,0.6212838985111805,True
future_absret_5,HARX_OLS,past_absret_60,0.09685214517016148,0.0872082255904069,0.12542585966016004,0.7721864170003003,0.4400040252183003,-0.14897802249372744,0.3426823128340504,False
future_absret_5,HARX_OLS,epu_log_m1,-0.00018662266827942141,-0.015514772496298953,0.00047982003823599407,-0.3889430482426688,0.6973182765411863,-0.0011270526622826015,0.0007538073257237586,False
future_absret_5,HARX_OLS,fx_ret1_m1,0.07889344494052433,0.02846669836055096,0.050142844613645134,1.57337393896188,0.11563225779723288,-0.019384724584608368,0.17717161446565705,False
future_absret_5,HARX_OLS,ppi_yoy_m1,-0.00011859579832713968,-0.08141627012941739,6.749807078887535e-05,-1.757025007397485,0.07891354679461969,-0.0002508895860992705,1.3697989444991097e-05,False
future_absret_5,HARX_OLS,m2_delta1_m1,-0.00025776659101298696,-0.013637261654556863,0.0003437301561217728,-0.7499097371068845,0.45330906966552054,-0.0009314653174119917,0.0004159321353860177,False
future_absret_5,HAR_Ridge,past_absret_5,0.14132433332535307,6.778166773910404e-06,,,,,,
future_absret_5,HAR_Ridge,past_absret_20,0.2005418543617714,8.466574990543978e-06,,,,,,
future_absret_5,HAR_Ridge,past_absret_60,0.18716357843714324,7.917160543749802e-06,,,,,,
future_absret_5,HARX_Ridge,past_absret_5,0.13532925177764274,6.490631983563838e-06,,,,,,
future_absret_5,HARX_Ridge,past_absret_20,0.18953477512281144,8.001872686378592e-06,,,,,,
future_absret_5,HARX_Ridge,past_absret_60,0.16327328063655658,6.906582926541232e-06,,,,,,
future_absret_5,HARX_Ridge,epu_log_m1,-0.00019383701097971123,-7.312619307557582e-07,,,,,,
future_absret_5,HARX_Ridge,fx_ret1_m1,0.0646692690046649,9.878663710588707e-07,,,,,,
future_absret_5,HARX_Ridge,ppi_yoy_m1,-0.0001349551472252984,-3.7549531346748113e-06,,,,,,
future_absret_5,HARX_Ridge,m2_delta1_m1,-9.041516815048168e-05,-2.2382310961675333e-07,,,,,,
future_logrv_20,HAR_OLS,const,-2.528949870457907,,0.5458995598014896,-4.632628521220152,3.6105205399631773e-06,-3.598893346845096,-1.4590063940707179,True
future_logrv_20,HAR_OLS,past_logrv_5,0.12118063997605195,0.14849089788326245,0.04633652214841094,2.615229507038169,0.008916751723595255,0.03036272539632398,0.21199855455577993,True
future_logrv_20,HAR_OLS,past_logrv_20,0.3874834673557891,0.4067823563685659,0.09599842316914847,4.036352416675077,5.428864928781875e-05,0.19933001537162262,0.5756369193399555,True
future_logrv_20,HAR_OLS,past_logrv_60,0.2147681629044982,0.21224541790229945,0.10199752792408764,2.10562125647144,0.035237264724301706,0.014856681661167964,0.41467964414782843,True
future_logrv_20,HARX_OLS,const,-2.5663075008189034,,1.005733426677339,-2.55167764414201,0.010720565640169955,-4.537508795154543,-0.5951062064832637,True
future_logrv_20,HARX_OLS,past_logrv_5,0.1260173595180212,0.1544176600107661,0.04572261743980052,2.7561274173321033,0.005849020707268977,0.0364026760571092,0.2156320429789332,True
future_logrv_20,HARX_OLS,past_logrv_20,0.40597784083912514,0.42619785524507303,0.09936205664453142,4.085843777283256,4.3916921642921355e-05,0.21123178838601478,0.6007238932922355,True
future_logrv_20,HARX_OLS,past_logrv_60,0.11692830717799099,0.11555482472807806,0.129891658086256,0.9001987417878942,0.36801449563598,-0.13765466456326161,0.3715112789192436,False
future_logrv_20,HARX_OLS,epu_log_m1,-0.09632043680127046,-0.052630983685997904,0.11832865441096502,-0.8140077082829132,0.41564053510322907,-0.3282403377858485,0.1355994641833076,False
future_logrv_20,HARX_OLS,fx_ret1_m1,5.971360226936719,0.014132719151191226,10.446777553406022,0.5715982939628922,0.5675941515144924,-14.503947532240547,26.446667986113987,False
future_logrv_20,HARX_OLS,ppi_yoy_m1,-0.02621469870795198,-0.1170086530718078,0.018381087934889243,-1.426177754048699,0.15381703928634183,-0.06224096905699862,0.009811571641094658,False
future_logrv_20,HARX_OLS,m2_delta1_m1,0.007430924340571545,0.002585118449767531,0.02460304092236501,0.30203275944708846,0.762627090004618,-0.040790149777428994,0.05565199845857208,False
future_logrv_20,HAR_Ridge,past_logrv_5,0.13924240037104996,0.17926659232654965,,,,,,
future_logrv_20,HAR_Ridge,past_logrv_20,0.2154247148466037,0.2431634081500671,,,,,,
future_logrv_20,HAR_Ridge,past_logrv_60,0.21281769529560843,0.22982341231411163,,,,,,
future_logrv_20,HARX_Ridge,past_logrv_5,0.13319198236415958,0.17147702668163034,,,,,,
future_logrv_20,HARX_Ridge,past_logrv_20,0.1988231186406187,0.2244241436369258,,,,,,
future_logrv_20,HARX_Ridge,past_logrv_60,0.17935125488342715,0.19368275435401625,,,,,,
future_logrv_20,HARX_Ridge,epu_log_m1,-0.07164746559473512,-0.041416224590975916,,,,,,
future_logrv_20,HARX_Ridge,fx_ret1_m1,5.9368054113628475,0.013910060227901777,,,,,,
future_logrv_20,HARX_Ridge,ppi_yoy_m1,-0.027802561433466193,-0.11867068037586566,,,,,,
future_logrv_20,HARX_Ridge,m2_delta1_m1,0.009811727381070192,0.00373920489420822,,,,,,
