year,month,China_Policy_Index
1995,1,192.91191
1995,2,193.98785
1995,3,88.227035
1995,4,131.03471
1995,5,177.09686
1995,6,79.096237
1995,7,61.732692
1995,8,52.983125
1995,9,76.820086
1995,10,153.8713
1995,11,100.0615
1995,12,143.11669
1996,1,128.42946
1996,2,111.15819
1996,3,69.440676
1996,4,63.357444
1996,5,84.17336
1996,6,36.838809
1996,7,47.684813
1996,8,55.953546
1996,9,51.041031
1996,10,53.619759
1996,11,85.299863
1996,12,69.185185
1997,1,88.323707
1997,2,115.34868
1997,3,59.410586
1997,4,123.27135
1997,5,20.57983
1997,6,62.723869
1997,7,42.590281
1997,8,27.126091
1997,9,70.86267
1997,10,83.157661
1997,11,69.05575
1997,12,20.722469
1998,1,77.70583
1998,2,98.684799
1998,3,64.921202
1998,4,19.439777
1998,5,41.804219
1998,6,68.29856
1998,7,100.43605
1998,8,38.225398
1998,9,74.329698
1998,10,128.11868
1998,11,51.115827
1998,12,69.668828
1999,1,123.66966
1999,2,98.324052
1999,3,82.278133
1999,4,16.566034
1999,5,116.03939
1999,6,101.5225
1999,7,66.909204
1999,8,39.800822
1999,9,102.30252
1999,10,78.276201
1999,11,62.016962
1999,12,36.993786
2000,1,44.004441
2000,2,9.0667084
2000,3,44.399135
2000,4,35.441415
2000,5,71.135802
2000,6,36.856974
2000,7,18.607405
2000,8,27.140866
2000,9,58.010046
2000,10,70.60663
2000,11,140.36797
2000,12,112.61159
2001,1,97.325448
2001,2,65.150244
2001,3,114.62846
2001,4,107.1836
2001,5,95.761167
2001,6,54.479551
2001,7,118.17541
2001,8,131.47923
2001,9,202.87771
2001,10,297.23533
2001,11,128.7835
2001,12,136.84721
2002,1,159.89443
2002,2,163.70115
2002,3,140.20535
2002,4,117.48549
2002,5,33.760589
2002,6,116.7775
2002,7,88.068272
2002,8,140.53097
2002,9,188.88867
2002,10,147.99453
2002,11,109.7591
2002,12,85.209694
2003,1,141.76566
2003,2,88.596536
2003,3,184.78602
2003,4,124.31019
2003,5,102.03591
2003,6,87.320028
2003,7,92.372249
2003,8,89.334223
2003,9,127.82127
2003,10,106.51364
2003,11,37.159306
2003,12,97.13573
2004,1,101.1584
2004,2,46.90383
2004,3,85.352993
2004,4,43.165826
2004,5,137.9872
2004,6,59.121086
2004,7,50.48696
2004,8,88.039981
2004,9,92.031048
2004,10,107.50053
2004,11,93.990499
2004,12,96.878212
2005,1,75.73044
2005,2,32.597446
2005,3,99.00125
2005,4,50.367887
2005,5,105.35017
2005,6,42.972257
2005,7,35.555212
2005,8,92.999139
2005,9,68.261136
2005,10,32.729477
2005,11,86.757981
2005,12,57.220211
2006,1,83.608438
2006,2,64.715103
2006,3,84.225096
2006,4,133.5047
2006,5,66.022695
2006,6,110.92435
2006,7,42.707087
2006,8,36.359452
2006,9,71.518664
2006,10,74.125146
2006,11,43.895903
2006,12,67.678387
2007,1,80.170837
2007,2,64.659121
2007,3,70.074323
2007,4,68.33134
2007,5,47.791524
2007,6,77.089464
2007,7,136.72058
2007,8,56.73624
2007,9,90.571203
2007,10,92.542597
2007,11,108.42848
2007,12,93.82693
2008,1,142.80524
2008,2,157.75427
2008,3,174.01172
2008,4,145.51449
2008,5,100.68358
2008,6,157.01193
2008,7,152.11792
2008,8,205.62846
2008,9,298.387
2008,10,187.56824
2008,11,194.23704
2008,12,232.76639
2009,1,223.54687
2009,2,170.97814
2009,3,184.49577
2009,4,152.91332
2009,5,91.164708
2009,6,131.52881
2009,7,103.93192
2009,8,92.431093
2009,9,160.95165
2009,10,75.796264
2009,11,68.890271
2009,12,74.858231
2010,1,95.782084
2010,2,103.44437
2010,3,90.395699
2010,4,46.745431
2010,5,156.54862
2010,6,130.0135
2010,7,70.815674
2010,8,104.10299
2010,9,121.59744
2010,10,74.115958
2010,11,82.423064
2010,12,110.67325
2011,1,172.6804
2011,2,46.08258
2011,3,131.24837
2011,4,153.01114
2011,5,26.144087
2011,6,39.590013
2011,7,207.39718
2011,8,186.73148
2011,9,158.05563
2011,10,238.7096
2011,11,363.52311
2011,12,324.46263
2012,1,298.70264
2012,2,236.08953
2012,3,242.72799
2012,4,155.82893
2012,5,216.25196
2012,6,304.55274
2012,7,301.52292
2012,8,215.31753
2012,9,161.979
2012,10,300.70207
2012,11,306.33584
2012,12,192.76839
2013,1,208.55453
2013,2,162.25603
2013,3,83.769069
2013,4,147.95317
2013,5,82.958872
2013,6,40.403213
2013,7,115.46747
2013,8,139.75954
2013,9,69.790797
2013,10,97.597763
2013,11,81.025414
2013,12,137.23246
2014,1,103.44437
2014,2,66.529545
2014,3,134.94262
2014,4,84.268257
2014,5,80.76277
2014,6,102.23165
2014,7,127.48029
2014,8,151.00191
2014,9,185.7619
2014,10,240.49532
2014,11,112.73898
2014,12,93.96096
2015,1,232.2151
2015,2,117.68367
2015,3,82.093294
2015,4,105.31836
2015,5,127.55281
2015,6,123.34314
2015,7,268.70921
2015,8,224.05859
2015,9,393.23413
2015,10,244.86796
2015,11,104.74907
2015,12,151.61449
2016,1,261.94208
2016,2,269.01918
2016,3,323.15583
2016,4,286.17734
2016,5,260.25747
2016,6,357.20881
2016,7,558.22214
2016,8,288.78021
2016,9,388.74959
2016,10,261.89889
2016,11,475.67092
2016,12,646.91099
2017,1,694.84941
2017,2,464.52282
2017,3,533.30439
2017,4,322.34425
2017,5,451.9785
2017,6,328.5536
2017,7,162.69329
2017,8,265.2581
2017,9,314.00123
2017,10,291.58359
2017,11,268.04386
2017,12,269.35475
2018,1,122.93741
2018,2,211.78017
2018,3,245.55172
2018,4,291.30698
2018,5,374.10382
2018,6,465.41684
2018,7,561.02614
2018,8,502.75373
2018,9,516.48662
2018,10,621.4264
2018,11,677.53756
2018,12,935.31032
2019,1,654.96267
2019,2,720.15793
2019,3,753.10775
2019,4,502.55005
2019,5,759.06873
2019,6,959.85229
2019,7,721.64669
2019,8,904.93839
2019,9,933.88379
2019,10,970.82989
2019,11,726.59107
2019,12,894.89573
2020,1,755.26383
2020,2,646.36755
2020,3,734.64228
2020,4,819.17598
2020,5,934.71704
2020,6,843.61519
2020,7,893.4085
2020,8,821.08324
2020,9,563.81639
2020,10,631.75338
2020,11,723.90947
2020,12,606.51655
2021,1,665.30833
2021,2,565.40048
2021,3,493.89919
2021,4,488.22677
2021,5,492.67571
2021,6,413.07234
2021,7,505.57954
2021,8,592.80046
2021,9,356.06349
2021,10,452.14938
2021,11,491.74963
2021,12,589.8113
2022,1,582.58103
2022,2,406.17779
2022,3,863.93661
2022,4,843.91854
2022,5,735.83327
2022,6,763.40105
2022,7,778.83988
2022,8,602.4936
2022,9,689.29531
2022,10,743.39758
2022,11,892.68386
2022,12,700.52431
2023,1,728.04491
2023,2,573.7079
2023,3,756.75674
2023,4,354.6664
2023,5,522.09041
2023,6,523.11698
2023,7,704.56608
2023,8,709.88199
2023,9,819.74615
2023,10,603.73989
2023,11,743.39758
