排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
248,租赁,BK1365,3200.23,33.52,1.06,79306144000,0.71,2,1,渤海租赁,3.02
249,会展服务,BK1565,1119.37,11.63,1.05,15312045000,0.66,3,0,兰生股份,1.76
250,橡胶,BK1018,1626.49,16.74,1.04,130426523000,1.45,17,6,利通科技,5.54
251,互联网电商,BK1268,2859.87,29.52,1.04,125329121000,1.06,12,4,若羽臣,7.42
252,品牌消费电子,BK1337,2678.78,27.4,1.03,283196464000,0.86,9,2,绿联科技,4.28
253,机场,BK1480,2015.19,20.58,1.03,155785937000,0.4,4,1,深圳机场,2.24
254,白酒Ⅱ,BK1277,4825.82,49.18,1.03,2907059568000,0.71,20,1,古井贡酒,4.08
255,白酒Ⅲ,BK1575,4825.82,49.18,1.03,2907059568000,0.71,20,1,古井贡酒,4.08
256,非银金融,BK1203,2508.05,25.13,1.01,7003965696000,0.49,70,9,爱建集团,10.04
257,纺织服饰,BK0436,14288.58,142.39,1.01,688512016000,1.3,74,32,美邦服饰,10.18
258,厨房小家电,BK1457,2285.55,22.94,1.01,82084070000,0.86,9,2,北鼎股份,2.6
259,证券Ⅲ,BK1366,138443.15,1372.4,1.0,3426683040000,0.47,45,3,广发证券,2.73
260,熟食,BK1584,2203.9,21.72,1.0,23701401000,0.72,2,1,ST绝味,3.68
261,证券Ⅱ,BK0473,138443.15,1372.4,1.0,3426683040000,0.47,45,3,广发证券,2.73
262,其他家居用品,BK1540,7077.7,69.1,0.99,203602547000,1.49,15,9,张小泉,6.81
263,印刷,BK1534,4789.41,46.94,0.99,25573618000,4.26,5,0,鸿博股份,2.58
264,耐火材料,BK1467,2250.73,21.95,0.98,34871366000,0.68,7,1,北京利尔,1.73
265,固废治理,BK1389,3172.66,30.92,0.98,351553200000,1.65,23,10,万德斯,12.87
266,纺织服装设备,BK1401,3566.9,34.64,0.98,79156340000,2.52,10,3,卓郎智能,9.89
267,纺织制造,BK1224,2693.82,25.83,0.97,207891043000,1.61,23,9,孚日股份,10.03
268,休闲食品,BK1281,2217.03,20.68,0.94,171585722000,0.78,17,5,万辰集团,5.85
269,其他小金属,BK1624,5167.06,47.42,0.93,434857712000,3.07,11,4,宝武镁业,5.84
270,电池,BK1033,1484.26,13.65,0.93,3750243536000,2.83,77,24,圣阳股份,9.99
271,风电设备,BK1032,1695.15,15.67,0.93,511551888000,3.71,20,10,锡华科技,9.99
272,金属制品,BK1396,5862.59,54.26,0.93,769541888000,4.26,58,21,瑞迪智驱,12.42
273,金融控股,BK1359,2406.88,22.02,0.92,299207536000,1.05,7,2,爱建集团,10.04
274,石油石化,BK0464,7449.93,67.15,0.91,5873448704000,0.45,31,16,博迈科,10.01
275,电网设备,BK0457,41168.94,368.58,0.9,1912880448000,2.5,108,28,通达股份,10.01
276,膜材料,BK1439,3454.87,30.88,0.9,208123103000,5.54,13,7,平安电工,5.72
277,钢结构,BK1474,3217.06,28.24,0.89,72061954000,2.23,7,3,东南网架,5.81
278,纯碱,BK1417,1222.0,10.73,0.89,60749357000,1.16,4,1,三友化工,3.46
279,冶钢辅料,BK1372,6166.18,54.34,0.89,119132297000,0.67,4,0,鄂资Ｂ股,1.37
280,成品家居,BK1537,2652.06,23.44,0.89,121272245000,0.89,16,1,匠心家居,3.72
281,水产饲料,BK1509,6378.51,55.37,0.88,98206315000,1.02,3,1,天马科技,2.36
282,电网自动化设备,BK1309,7441.57,64.67,0.88,514535536000,1.42,19,9,中元股份,7.78
283,轻工制造,BK1212,3601.12,31.34,0.88,1133375712000,1.7,127,41,大胜达,10.0
284,建筑材料,BK1208,3860.2,33.65,0.88,1033887456000,1.25,47,20,山东玻纤,10.01
285,家居用品,BK0440,51249.14,442.75,0.87,538630352000,1.07,57,18,张小泉,6.81
286,工程机械,BK0739,2334.03,20.09,0.87,784973328000,1.48,24,10,恒立液压,7.86
287,建筑装饰,BK1209,3264.1,27.83,0.86,2105609232000,1.61,115,45,柏诚股份,9.98
288,人工景区,BK1562,3148.98,26.55,0.85,39901179000,0.99,3,2,大连圣亚,3.89
289,瓷砖地板,BK1538,1358.01,11.32,0.84,75432783000,0.84,11,1,蒙娜丽莎,2.44
290,门户网站,BK1294,3186.36,26.56,0.84,124892222000,1.83,8,1,昆仑万维,4.96
291,教育,BK0740,660.91,5.5,0.84,88958218000,1.11,12,2,中国高科,4.63
292,锦纶,BK1414,648.74,5.37,0.83,25598934000,1.07,3,1,神马股份,4.03
293,学历教育,BK1558,2379.33,19.31,0.82,12765109000,0.71,2,0,国脉科技,1.05
294,多元金融,BK0738,651.79,5.3,0.82,590768592000,0.84,20,6,爱建集团,10.04
295,其他橡胶制品,BK1441,4855.54,38.97,0.81,64372129000,1.62,11,4,利通科技,5.54
296,配电设备,BK1310,3940.42,31.33,0.8,250838893000,2.04,22,4,柘中股份,3.3
297,钢铁管材,BK1368,740.24,5.83,0.79,31349531000,0.71,3,0,武进不锈,1.34
298,农药,BK1436,3344.43,25.62,0.77,267858838000,1.15,24,9,湖南海利,3.86
299,专业连锁Ⅱ,BK1270,1500.64,11.31,0.76,54831401000,1.35,5,2,吉峰科技,3.1
300,国际工程,BK1475,3026.1,22.85,0.76,65534729000,3.81,3,1,中材国际,1.65
301,专业连锁Ⅲ,BK1555,1500.64,11.31,0.76,54831401000,1.35,5,2,吉峰科技,3.1
302,锂电池,BK1303,18352.54,136.77,0.75,2471325776000,3.46,23,8,震裕科技,8.21
303,汽车综合服务,BK1524,1102.14,8.08,0.74,40772354000,1.11,4,1,中国汽研,2.38
304,渔业,BK1260,1114.15,8.05,0.73,20051770000,1.52,5,2,大湖股份,4.12
305,冶钢原料,BK1228,4105.73,29.47,0.72,210418351000,0.76,7,2,河钢资源,2.68
306,其他通信设备,BK1590,5991.49,42.79,0.72,95572848000,1.25,11,3,朗威股份,2.59
307,肉鸡养殖,BK1511,3207.55,22.64,0.71,67431221000,0.94,6,2,圣农发展,1.53
308,跨境物流,BK1488,1813.64,12.85,0.71,188089758000,0.6,9,4,嘉友国际,2.97
309,房地产服务,BK1045,1265.36,8.76,0.7,57977304000,2.46,7,5,宁波富达,10.08
310,快递,BK1489,5597.4,39.1,0.7,303974048000,0.45,3,0,申通快递,1.82
311,商用车,BK1264,2966.32,20.61,0.7,358349920000,1.42,10,4,中国重汽,4.31
312,其他金属新材料,BK1619,3598.41,24.62,0.69,206154017000,1.45,15,5,屹通新材,3.96
313,非白酒,BK1279,2149.11,14.7,0.69,247661434000,0.89,11,6,会稽山,9.98
314,动力煤,BK1493,2196.64,14.87,0.68,1973684384000,0.73,12,4,甘肃能化,4.55
315,造纸,BK1267,2740.36,18.25,0.67,181813712000,1.13,17,6,安妮股份,3.77
316,调味发酵品Ⅲ,BK1576,4819.94,31.88,0.67,383433792000,1.85,10,5,日辰股份,2.85
317,跨境电商,BK1547,2500.75,16.59,0.67,48468785000,2.38,4,2,星徽股份,4.06
318,调味发酵品Ⅱ,BK1278,4819.94,31.88,0.67,383433792000,1.85,10,5,日辰股份,2.85
319,食品饮料,BK0438,27890.75,183.83,0.66,4424074240000,1.22,93,34,会稽山,9.98
320,水泥制造,BK1464,2428.25,15.75,0.65,303200608000,0.63,9,2,华新建材,7.45
321,房屋建设Ⅱ,BK1246,2278.77,14.63,0.65,293222064000,0.79,3,3,宁波建工,6.15
322,房屋建设Ⅲ,BK1470,2278.77,14.63,0.65,293222064000,0.79,3,3,宁波建工,6.15
323,油品石化贸易,BK1571,3303.89,20.94,0.64,71906138000,1.87,4,3,和顺石油,3.09
324,民爆制品,BK1427,5116.08,32.29,0.64,136346963000,1.72,8,4,高争民爆,4.1
325,其他化学纤维,BK1415,3215.4,20.13,0.63,111644270000,1.54,7,1,双欣材料,1.87
326,交通运输,BK1210,2616.84,16.02,0.62,3565484544000,0.71,79,46,锦江航运,10.04
327,玻璃制造,BK1461,2133.74,13.16,0.62,67743442000,1.07,6,3,凯盛新能,1.61
328,商业物业经营,BK1554,1793.84,11.02,0.62,204160887000,0.55,12,3,小商品城,2.86
329,电池化学品,BK1302,12295.91,74.0,0.61,971720320000,2.49,29,12,当升科技,3.17
330,端到端供应链服务,BK1491,1732.02,10.43,0.61,25424120000,1.09,5,1,海晨股份,1.86
331,出版,BK1218,2074.07,12.26,0.59,266963930000,0.74,22,6,中信出版,3.01
332,铁矿石,BK1371,2073.27,12.16,0.59,91286054000,1.13,3,2,河钢资源,2.68
333,超市,BK1552,1883.78,10.9,0.58,80668784000,0.63,5,1,家家悦,2.8
334,铝,BK1613,2933.81,17.03,0.58,1133133952000,2.24,20,9,丽岛新材,10.01
335,环保,BK0728,574.91,3.25,0.57,963259840000,1.64,82,52,华宏科技,10.03
336,预加工食品,BK1581,6932.92,39.52,0.57,71466115000,1.96,7,4,千味央厨,3.51
337,股份制银行Ⅲ,BK1610,2408.53,13.71,0.57,2985980272000,0.29,7,1,招商银行,1.48
338,硅料硅片,BK1319,2116.98,11.71,0.56,104200654000,2.17,3,2,TCL中环,2.16
339,航海装备Ⅲ,BK1383,5449.9,28.94,0.53,456987184000,1.24,7,3,*ST松发,3.96
340,钨,BK1625,8171.56,43.04,0.53,248801710000,2.66,3,1,中钨高新,2.64
341,航海装备Ⅱ,BK1230,5449.9,28.94,0.53,456987184000,1.24,7,3,*ST松发,3.96
342,定制家居,BK1539,8215.92,42.65,0.52,98924431000,1.0,10,5,我乐家居,3.67
343,油服工程,BK1275,2285.74,11.86,0.52,287567936000,1.08,7,7,博迈科,10.01
344,线缆部件及其他,BK1312,4079.94,20.65,0.51,401384448000,4.31,28,9,通达股份,10.01
345,复合肥,BK1433,3771.58,18.99,0.51,93486440000,3.98,7,2,ST司特,1.45
346,煤炭开采,BK1250,1750.58,8.71,0.5,2176667216000,0.93,18,7,甘肃能化,4.55
347,影视动漫制作,BK1299,3907.24,19.34,0.5,154404014000,1.61,9,4,华策影视,1.67
348,其他纺织,BK1350,2062.35,10.13,0.49,63240798000,1.88,11,3,聚杰微纤,6.61
349,食品加工,BK1280,4649.62,22.62,0.49,259361348000,1.77,17,10,千味央厨,3.51
350,其他农产品加工,BK1505,2717.19,13.32,0.49,82326849000,0.83,8,2,一致魔芋,2.66
351,农化制品,BK0731,1930.91,9.21,0.48,1118432528000,2.05,39,23,藏格矿业,3.91
352,烘焙食品,BK1582,801.8,3.82,0.48,45058640000,0.73,6,2,元祖股份,2.81
353,综合环境治理,BK1391,1760.53,8.32,0.47,68092801000,2.82,7,8,赛恩斯,7.06
354,文娱用品,BK1266,3775.32,17.62,0.47,128590046000,3.02,16,7,群兴玩具,5.38
355,装修建材,BK0476,16746.89,78.7,0.47,291407136000,0.91,21,11,万里石,3.85
356,肉制品,BK1580,2807.63,12.83,0.46,128947867000,0.89,2,5,金字火腿,3.42
357,辅料,BK1348,2485.45,11.12,0.45,19614395000,0.38,2,2,夜光明,1.59
358,广告媒体,BK1292,2642.42,11.74,0.45,103709107000,0.46,2,1,兆讯传媒,1.12
359,商贸零售,BK1213,2376.23,10.42,0.44,1011142048000,0.99,61,35,若羽臣,7.49
360,农业综合Ⅱ,BK1257,2578.84,10.92,0.43,11807995000,0.99,2,1,润农节水,1.01
361,影视院线,BK1222,3882.73,16.51,0.43,199855743000,1.48,12,5,华策影视,1.67
362,农业综合Ⅲ,BK1506,2578.84,10.92,0.43,11807995000,0.99,2,1,润农节水,1.01
363,产业地产,BK1344,2514.82,10.77,0.43,171618630000,0.74,9,4,张江高科,3.2
364,装修装饰Ⅲ,BK1478,876.02,3.65,0.42,118019580000,1.4,8,13,德才股份,10.0
365,长材,BK1369,622.15,2.6,0.42,21449138000,0.52,2,0,三钢闽光,0.78
366,装修装饰Ⅱ,BK0725,876.02,3.65,0.42,118019580000,1.4,8,13,德才股份,10.0
367,保健品,BK1579,3877.82,15.8,0.41,58947366000,3.29,8,1,康比特,2.07
368,电信运营商,BK1587,968.05,3.92,0.41,2695559680000,0.12,3,0,中国联通,0.9
369,种植业,BK1261,2774.37,11.22,0.41,170029768000,2.09,8,12,华绿生物,11.24
370,综合电商,BK1548,1189.88,4.64,0.39,32624060000,0.39,2,1,国联股份,1.97
371,钟表珠宝,BK1357,2196.01,7.65,0.35,134137339000,0.95,12,4,潮宏基,3.59
372,水泥,BK0424,30301.3,104.96,0.35,337893664000,0.71,13,6,华新建材,7.45
373,软饮料,BK1586,1849.57,6.21,0.34,195114066000,0.95,5,3,东鹏饮料,3.02
374,饰品,BK0734,444.42,1.46,0.33,139943539000,0.88,12,4,潮宏基,3.59
375,工程机械器件,BK1392,16457.6,52.21,0.32,198424216000,1.59,8,5,恒立液压,7.82
376,环境治理,BK1235,2541.41,8.12,0.32,806873152000,1.44,60,47,万德斯,12.87
377,大众出版,BK1289,1856.62,5.67,0.31,133301440000,0.94,12,6,中信出版,3.01
378,其他建材Ⅲ,BK1468,4785.07,14.5,0.3,128305699000,1.17,6,8,万里石,3.85
379,饮料乳品,BK1282,2311.33,6.92,0.3,455088032000,1.14,18,7,东鹏饮料,3.02
380,汽车服务,BK1016,990.95,2.94,0.3,63708277000,0.91,7,4,中国汽研,2.38
381,畜禽饲料,BK1508,2137.68,6.13,0.29,60892317000,0.93,5,2,邦基科技,1.53
382,综合包装,BK1536,1397.47,4.0,0.29,18082430000,1.45,4,2,方大新材,1.63
383,乳品,BK1585,2309.58,6.57,0.29,259973958000,1.21,13,4,三元股份,2.21
384,园林工程,BK1473,3715.72,10.22,0.28,89338669000,3.39,12,7,ST岭南,3.68
385,商业地产,BK1345,1309.53,3.52,0.27,231047606000,0.45,6,2,华侨城Ａ,1.38
386,管材,BK1466,1941.73,5.15,0.27,38634813000,0.65,4,1,青龙管业,0.83
387,钛白粉,BK1421,1988.76,5.2,0.26,73037757000,1.35,5,1,惠云钛业,1.45
388,航空装备Ⅲ,BK1384,4826.05,12.58,0.26,1116646400000,0.99,29,18,广联航空,3.73
389,航空装备Ⅱ,BK1231,4826.05,12.58,0.26,1116646400000,0.99,29,18,广联航空,3.73
390,物流,BK0422,7827.37,19.54,0.25,709526480000,0.76,29,13,广汇物流,3.92
391,一般零售,BK0482,17770.46,44.32,0.25,508624416000,0.82,33,22,小商品城,2.86
392,贸易Ⅲ,BK1550,11542.05,28.06,0.24,163361457000,1.93,9,7,凯瑞德,4.86
393,贸易Ⅱ,BK0484,11542.05,28.06,0.24,163361457000,1.93,9,7,凯瑞德,4.86
394,化学原料,BK1019,1125.96,2.54,0.23,912911936000,1.63,44,19,江苏索普,7.1
395,卫浴电器,BK1452,1669.51,3.59,0.22,19155191000,1.46,1,1,奥普科技,0.87
396,焦煤,BK1494,1181.68,2.47,0.21,202982827000,1.48,6,3,恒源煤电,2.02
397,多业态零售,BK1553,1576.99,3.04,0.19,80830505000,0.86,7,6,新华百货,2.01
398,其他化学原料,BK1420,3448.1,6.6,0.19,182520556000,1.86,13,5,佳先股份,2.59
399,军工电子Ⅲ,BK1386,7314.5,13.88,0.19,1134265840000,2.33,39,24,华丰科技,6.07
400,军工电子Ⅱ,BK1233,7314.5,13.88,0.19,1134265840000,2.33,39,24,华丰科技,6.07
401,氯碱,BK1418,2373.15,4.33,0.18,180414161000,1.23,9,5,北元集团,2.91
402,院线,BK1300,735.85,1.32,0.18,45451728000,0.85,3,1,万达电影,0.61
403,农林牧渔,BK0433,15422.27,25.61,0.17,1356524880000,1.56,60,43,华绿生物,11.24
404,国防军工,BK1204,6348.35,10.37,0.16,3333175056000,1.75,82,59,理工导航,11.36
405,粘胶,BK1416,2140.33,3.43,0.16,27192319000,3.81,2,1,新乡化纤,2.75
406,海洋捕捞,BK1513,1291.51,1.85,0.14,6889510000,1.16,2,1,开创国际,1.02
407,大宗用纸,BK1544,2328.37,3.18,0.14,108120122000,0.87,8,3,岳阳林纸,3.17
408,广告营销,BK1220,5232.08,6.94,0.13,337449472000,2.29,15,11,省广集团,3.4
409,娱乐用品,BK1543,3023.58,3.95,0.13,85162523000,3.97,11,7,群兴玩具,5.38
410,原材料供应链服务,BK1490,3317.64,4.23,0.13,124311270000,0.75,5,5,广汇物流,3.92
411,通信线缆及配套,BK1592,21470.37,25.17,0.12,597622784000,6.87,5,7,永鼎股份,8.87
412,营销代理,BK1293,4972.75,4.87,0.1,233740372000,3.73,13,10,省广集团,3.4
413,城商行Ⅲ,BK1609,1551.91,1.45,0.09,1260588640000,0.39,9,7,青岛银行,1.35
414,金融信息服务,BK1360,4740.35,4.34,0.09,36629105000,1.75,2,1,拉卡拉,1.66
415,电动乘用车,BK1519,6251.79,5.62,0.09,1142689072000,1.1,2,1,北汽蓝谷,1.54
416,期货,BK1361,560.26,0.37,0.07,54681325000,0.89,2,2,南华期货,1.79
417,银行,BK1283,4158.17,2.47,0.06,15193732608000,0.18,20,16,招商银行,1.48
418,银行Ⅱ,BK0475,4158.17,2.47,0.06,15193732608000,0.18,20,16,招商银行,1.48
419,基础建设,BK1247,2417.29,0.73,0.03,987050096000,1.51,31,16,北新路桥,10.02
420,其他饰品,BK1356,649.4,0.0,0.0,5806199000,0.39,0,0,瑞贝卡,0.0
421,燃气Ⅲ,BK1381,2020.61,-0.17,-0.01,310886064000,1.52,14,14,中泰股份,3.04
422,燃气Ⅱ,BK1028,2020.61,-0.17,-0.01,310886064000,1.52,14,14,中泰股份,3.04
423,磷肥及磷化工,BK1435,3542.0,-0.81,-0.02,229812344000,1.77,4,5,川金诺,1.37
424,水务及水治理,BK1390,2120.36,-1.18,-0.06,305872208000,0.91,25,26,中晟高科,3.08
425,房地产,BK1202,2084.01,-1.33,-0.06,1076218784000,0.93,53,39,宁波富达,10.08
426,公交,BK1484,1732.65,-1.15,-0.07,39583462000,0.54,5,2,大众交通,1.26
427,汽车经销商,BK1523,1549.22,-1.1,-0.07,22935922000,0.72,3,3,德众汽车,0.91
428,煤炭,BK0437,13247.01,-10.92,-0.08,2242132160000,1.13,20,12,甘肃能化,4.55
429,百货,BK1551,2078.08,-2.02,-0.1,142964239000,1.13,9,12,友阿股份,1.75
430,水泥制品,BK1463,2359.95,-3.02,-0.13,34693054000,1.2,4,4,西部建设,1.17
431,基建市政工程,BK1472,2378.03,-3.26,-0.14,897711424000,1.31,19,9,北新路桥,10.02
432,乘用车,BK1262,4841.3,-6.7,-0.14,1705952000000,0.62,4,4,北汽蓝谷,1.54
433,运动服装,BK1355,3229.91,-4.5,-0.14,20878862000,1.99,2,1,泰慕士,0.36
434,教育运营及其他,BK1556,1680.83,-2.38,-0.14,21405740000,1.18,1,1,博瑞传播,0.62
435,核力发电,BK1376,659.92,-0.99,-0.15,526509472000,0.42,1,2,电投产融,0.32
436,房地产开发,BK0451,14489.79,-23.61,-0.16,1018241488000,0.84,46,34,张江高科,3.2
437,金属包装,BK1532,3001.77,-5.18,-0.17,64911261000,1.22,5,2,昇兴股份,1.3
438,航天装备Ⅲ,BK1385,5839.72,-12.27,-0.21,460483552000,2.21,1,8,理工导航,11.36
439,航天装备Ⅱ,BK1232,5839.72,-12.27,-0.21,460483552000,2.21,1,8,理工导航,11.36
440,港口,BK1481,1671.16,-3.56,-0.21,562584384000,0.47,7,9,南 京 港,1.69
441,国有大型银行Ⅲ,BK1611,3041.0,-6.95,-0.23,10673765376000,0.1,3,2,农业银行,0.3
442,综合乘用车,BK1520,3334.65,-8.44,-0.25,563262928000,0.49,2,3,上汽集团,1.17
443,农商行Ⅲ,BK1612,466.91,-1.35,-0.29,273398352000,0.56,1,6,沪农商行,0.44
444,物业管理,BK1343,1957.0,-6.53,-0.33,29894327000,2.27,4,4,招商积余,1.33
445,摩托车,BK1521,3621.69,-12.4,-0.34,158422593000,1.44,6,3,春风动力,5.31
446,风电整机,BK1314,2098.21,-7.54,-0.36,206058964000,2.7,2,3,电气风电,2.0
447,住宅开发,BK1346,1971.94,-7.26,-0.37,615575248000,0.95,31,28,信达地产,2.66
448,大气治理,BK1388,3641.39,-14.35,-0.39,81280153000,3.25,5,3,福鞍股份,2.96
449,地面兵装Ⅲ,BK1382,4230.79,-17.04,-0.4,164786187000,3.08,6,6,光电股份,3.86
450,地面兵装Ⅱ,BK1229,4230.79,-17.04,-0.4,164786187000,3.08,6,6,光电股份,3.86
451,啤酒,BK1577,2693.6,-11.6,-0.43,178216360000,0.68,5,2,青岛啤酒,1.86
452,商用载客车,BK1531,4000.11,-17.25,-0.43,107680461000,3.69,2,3,宇通客车,2.62
453,铁路公路,BK0421,8882.94,-38.94,-0.44,836980000000,0.36,12,22,三羊马,1.69
454,综合Ⅲ,BK1627,13469.41,-60.4,-0.45,212464690000,1.39,6,11,东阳光,3.0
455,综合,BK1217,13469.41,-60.4,-0.45,212464690000,1.39,6,11,东阳光,3.0
456,综合Ⅱ,BK0539,13469.41,-60.4,-0.45,212464690000,1.39,6,11,东阳光,2.97
457,农产品加工,BK1256,2454.33,-11.41,-0.46,305240304000,1.37,12,10,一致魔芋,2.66
458,高速公路,BK1483,2718.99,-12.86,-0.47,381147792000,0.44,5,15,海南高速,1.42
459,油气开采Ⅲ,BK1574,4780.12,-26.96,-0.56,1974449744000,2.33,0,3,洲际油气,0.0
460,油气开采Ⅱ,BK1276,4780.12,-26.96,-0.56,1974449744000,2.33,0,3,洲际油气,0.0
461,养殖业,BK1259,3879.32,-22.25,-0.57,551255072000,0.77,9,10,圣农发展,1.53
462,能源金属,BK1015,980.01,-6.16,-0.62,571002624000,3.32,3,8,华友钴业,2.83
463,摩托车及其他,BK1263,3941.01,-26.77,-0.67,242201349000,1.5,8,11,春风动力,5.31
464,铁路运输,BK1485,1585.42,-11.24,-0.7,416248736000,0.31,2,5,三羊马,1.69
465,种子,BK1518,4491.66,-38.18,-0.84,63333702000,2.57,2,8,万向德农,0.82
466,涂料,BK1469,1231.02,-10.47,-0.84,40078092000,0.77,1,1,三棵树,0.77
467,煤化工,BK1419,2136.27,-18.57,-0.86,315761696000,2.6,5,5,江苏索普,7.1
468,油田服务,BK1573,2054.13,-17.99,-0.87,203512027000,0.72,3,5,石化油服,1.06
469,氮肥,BK1432,2321.16,-20.96,-0.89,120931186000,3.48,1,5,四川美丰,0.69
470,热力服务,BK1379,3247.44,-30.73,-0.94,136604814000,4.92,9,9,协鑫能科,8.16
471,电能综合服务,BK1373,3698.17,-35.46,-0.95,248134011000,2.06,5,11,山高环能,2.61
472,其他运输设备,BK1522,2139.89,-21.07,-0.98,83778756000,1.65,2,8,九号公司-WD,1.76
473,果蔬加工,BK1503,2915.53,-30.65,-1.04,33783092000,0.92,2,3,国投中鲁,0.69
474,公用事业,BK0427,10061.62,-109.44,-1.08,4297737216000,1.84,51,87,协鑫能科,8.16
475,生猪养殖,BK1512,4052.39,-46.5,-1.13,472748976000,0.7,3,6,牧原股份,0.79
476,光伏发电,BK1375,4027.76,-48.56,-1.19,162470536000,6.2,6,7,珈伟新能,2.19
477,水力发电,BK1380,4045.55,-52.6,-1.28,1140589840000,0.57,1,8,桂冠电力,3.39
478,粮油加工,BK1504,1594.72,-21.84,-1.35,189130356000,3.08,2,5,索宝蛋白,0.69
479,电力,BK0428,20652.79,-289.81,-1.38,3986851184000,1.86,37,73,协鑫能科,8.16
480,火力发电,BK1377,2377.1,-35.54,-1.47,1051557136000,1.73,12,22,京能电力,2.56
481,逆变器,BK1320,22183.44,-354.9,-1.57,541580496000,5.95,3,6,上能电气,1.67
482,粮食种植,BK1515,1107.86,-20.34,-1.8,42917963000,1.42,0,2,苏垦农发,-1.57
483,锂,BK1621,17877.78,-329.43,-1.81,425176976000,3.76,0,8,天齐锂业,-0.13
484,风力发电,BK1374,2334.53,-44.83,-1.88,706725360000,2.22,3,12,珠海港,0.9
485,其他养殖,BK1510,995.98,-19.49,-1.92,11074867000,1.13,0,2,华英农业,0.0
486,焦炭Ⅲ,BK1492,912.12,-20.94,-2.24,65464934000,2.36,2,5,山西焦化,0.46
487,焦炭Ⅱ,BK1249,912.12,-20.94,-2.24,65464934000,2.36,2,5,山西焦化,0.46
488,轨交设备Ⅲ,BK1394,1889.4,-44.26,-2.29,461025040000,2.77,6,26,朗进科技,5.95
489,轨交设备Ⅱ,BK1236,1889.4,-44.26,-2.29,461025040000,2.77,6,26,朗进科技,5.95
490,公路货运,BK1487,4780.62,-125.69,-2.56,29533516000,1.85,2,3,传化智联,2.61
491,医美服务,BK1499,642.41,-16.96,-2.57,6095350000,1.52,0,1,*ST美谷,-2.57
492,林业Ⅲ,BK1502,5371.07,-166.49,-3.01,30698040000,14.46,1,3,ST景谷,1.87
493,林业Ⅱ,BK1255,5371.07,-166.49,-3.01,30698040000,14.46,1,3,ST景谷,1.87
494,体育Ⅲ,BK1564,1229.41,-83.94,-6.39,13444021000,9.3,0,2,中体产业,-4.09
495,体育Ⅱ,BK1273,1229.41,-83.94,-6.39,13444021000,9.3,0,2,中体产业,-4.09
496,其他能源发电,BK1378,1843.43,-143.16,-7.21,14259996000,7.1,0,2,长青集团,-5.98
